acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
alacritty 0.10.1-2
alsa-lib 1.2.7.2-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.7.2-1
aom 3.4.0-1
archlinux-keyring 20220727-1
archlinux-logout-git 22.06-03
archlinux-tweak-tool-git 22.07-202
archlinux-wallpapers-git 22.06-02
arcolinux-keyring 20230919-6
arcolinux-mirrorlist-git 22.04-01
arcolinux-qtile-git 22.07-01
argon2 20190702-4
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.1-1
atk 2.38.0-1
atkmm 2.28.3-1
attr 2.5.1-2
audit 3.0.8-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
awesome-terminal-fonts 1.1.0-4
babl 0.1.92-1
base 3-1
bash 5.1.016-1
bc 1.07.1-4
beautysh 6.2.1-1
betterlockscreen 4.0.4-2
binutils 2.39-2
bison 3.8.2-4
blas 3.10.1-1
bluez-libs 5.65-1
brave-bin 1:1.42.88-1
brotli 1.0.9-8
btrfs-progs 5.18.1-1
bubblewrap 0.6.2-1
bzip2 1.0.8-4
ca-certificates 20210603-1
ca-certificates-mozilla 3.81-1
ca-certificates-utils 20210603-1
cairo 1.17.6-2
cairomm 1.14.3-2
cantarell-fonts 1:0.303.1-1
cblas 3.10.1-1
chaotic-keyring 20220514-1
chaotic-mirrorlist 20220715-1
clifm 1.6-1
clipster 2.1.1-1
cmake 3.23.3-1
coreutils 9.1-1
cracklib 2.9.7-2
cryptsetup 2.5.0-1
curl 7.84.0-2
dav1d 1.0.0-1
db 5.3.28-5
dbus 1.14.0-1
dbus-glib 0.112-2
dconf 0.40.0-1
desktop-file-utils 0.26-2
device-mapper 2.03.16-1
diffutils 3.8-1
discord 0.0.18-1
dkms 3.0.6-1
dmenu 5.1-1
dmraid 1.0.0.rc16.3-13
dosfstools 4.2-2
double-conversion 3.2.1-1
duktape 2.7.0-4
e2fsprogs 1.46.5-4
egl-wayland 2:1.1.10-1
eglexternalplatform 1.1-2
enchant 2.3.3-1
endeavouros-keyring 20220523-3
endeavouros-mirrorlist 4.4.3-1
exiv2 0.27.5-3
exo 4.16.4-1
expat 2.4.8-1
fakeroot 1.29-1
feh 3.9-1
fftw 3.3.10-3
file 5.42-1
filesystem 2021.12.07-1
findutils 4.9.0-1
flac 1.3.4-3
flex 2.6.4-3
fnm 1.31.1-1
fontconfig 2:2.14.0-1
freeglut 3.2.2-2
freetype2 2.12.1-1
fribidi 1.0.12-1
fuse-common 3.11.0-1
fuse2 2.9.9-4
fzf 0.32.1-1
gawk 5.1.1-1
gc 8.2.0-3
gcc 12.1.1-4
gcc-libs 12.1.1-4
gd 2.3.3-4
gdbm 1.23-1
gdk-pixbuf2 2.42.9-1
gegl 0.4.38-1
gettext 0.21-2
ghc-libs 9.0.2-1
ghostscript 9.56.1-1
giflib 5.2.1-2
gimp 2.10.32-1
git 2.37.1-1
glew 2.2.0-3
glib-networking 1:2.72.2-1
glib2 2.72.3-1
glibc 2.36-1
glibmm 2.66.4-1
